theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,-9.492831168090610e-02,2.457169765673278e+01,-9.492817949316622e-02,2.457169762454985e+01
0.003141592653590,-9.908973763704809e-02,2.450085524953502e+01,-8.980688103632624e-02,2.449654992709662e+01
0.006283185307180,-1.114676707630794e-01,2.428914948553581e+01,-7.456347257562762e-02,2.427202611120712e+01
0.009424777960769,-1.317455712249350e-01,2.393903269830211e+01,-4.955669804488233e-02,2.390086990149668e+01
0.012566370614359,-1.594041344355916e-01,2.345455226612502e+01,-1.537546339882175e-02,2.338760740366221e+01
0.015707963267949,-1.937334809962614e-01,2.284129153895973e+01,2.717444944523298e-02,2.273847780059621e+01
0.018849555921539,-2.338498219973107e-01,2.210628851006535e+01,7.708855849636631e-02,2.196133800884522e+01
0.021991148575129,-2.787162104379605e-01,2.125793357652083e+01,1.331863346052346e-01,2.106554293952601e+01
0.025132741228718,-3.271668942567207e-01,2.030584807501991e+01,1.941378171850630e-01,2.006180342445365e+01
0.028274333882308,-3.779347026282854e-01,1.926074559124168e+01,2.584935889627624e-01,1.896202424642400e+01
0.031415926535898,-4.296808267399901e-01,1.813427831731490e+01,3.247174303359589e-01,1.777912504556554e+01
0.034557519189488,-4.810263008730574e-01,1.693887096730778e+01,3.912209139142614e-01,1.652684715506424e+01
0.037699111843078,-5.305844505521169e-01,1.568754495155840e+01,4.563991568164638e-01,1.521954964467946e+01
0.040840704496667,-5.769935527035335e-01,1.439373565349411e+01,5.186669232611737e-01,1.387199801505085e+01
0.043982297150257,-6.189489486559342e-01,1.307110574527396e+01,5.764942634557562e-01,1.249914908730859e+01
0.047123889803847,-6.552338644952003e-01,1.173335751968156e+01,6.284408868755889e-01,1.111593566932401e+01
0.050265482457437,-6.847482243918610e-01,1.039404720475965e+01,6.731884984073989e-01,9.737054551760512e+00
0.053407075111026,-7.065347902801856e-01,9.066404165413601e+00,7.095703737580876e-01,8.376761295010034e+00
0.056548667764616,-7.198020245231624e-01,7.763157784037247e+00,7.365975148533809e-01,7.048675114221948e+00
0.059690260418206,-7.239431494148240e-01,6.496374652654831e+00,7.534808051341262e-01,5.765596957409868e+00
0.062831853071796,-7.185509666994203e-01,5.277308505355563e+00,7.596486768356412e-01,4.539343605453024e+00
0.065973445725386,-7.034280995844679e-01,4.116265076171749e+00,7.547599053338466e-01,3.380600308329252e+00
0.069115038378975,-6.785924266301276e-01,3.022483788643347e+00,7.387112570579668e-01,2.298794115303489e+00
0.072256631032565,-6.442775888695869e-01,2.004037874722747e+00,7.116398347020199e-01,1.301989665362784e+00
0.075398223686155,-6.009285659068352e-01,1.067754188183150e+00,6.739200837993632e-01,3.968087855175972e-01
0.078539816339745,-5.491924308541596e-01,2.191536277038707e-01,6.261555453755454e-01,-4.116251930390909e-01
0.081681408993335,-4.899045051330292e-01,-5.375872762004354e-01,5.691655575903783e-01,-1.119717939130235e+00
0.084823001646924,-4.240702397735902e-01,-1.199653421529592e+00,5.039672223174663e-01,-1.725409434536050e+00
0.087964594300514,-3.528432474563928e-01,-1.765587016469087e+00,4.317530579190548e-01,-2.228154527724590e+00
0.091106186954104,-2.774999968900194e-01,-2.235262810446168e+00,3.538648546756040e-01,-2.628879589315408e+00
0.094247779607694,-1.994117562177062e-01,-2.609843541397301e+00,2.717643323003814e-01,-2.929916536415627e+00
0.097389372261284,-1.200144332873861e-01,-2.891716783759251e+00,1.870012678675103e-01,-3.134915869219305e+00
0.100530964914873,-4.077700644757281e-02,-3.084414672790211e+00,1.011798158155403e-01,-3.248740702843962e+00
0.103672557568463,3.683073094461578e-02,-3.192518240508433e+00,1.592377833167853e-02,-3.277344074482968e+00
0.106814150222053,1.113703765048038e-01,-3.221548322626188e+00,-6.715839636603010e-02,-3.227632055654226e+00
0.109955742875643,1.814663439852077e-01,-3.177845180880863e+00,-1.465081088684854e-01,-3.107315397671383e+00
0.113097335529233,2.458357977087230e-01,-3.068439128471825e+00,-2.206498337613757e-01,-2.924752582589823e+00
0.116238928182822,3.033164240566917e-01,-2.900914546078106e+00,-2.882223457579348e-01,-2.688787240020554e+00
