theta,real(S11),imag(S11),real(S22),imag(S22)
0.000000000000000,1.450225482663121e-01,2.828179352949178e+00,1.450225452946469e-01,2.828179358368696e+00
0.003141592653590,1.440908256551074e-01,2.827278024186531e+00,1.455882998413968e-01,2.827073802723595e+00
0.006283185307180,1.412985915835928e-01,2.824575230049430e+00,1.472837109622845e-01,2.823758336168837e+00
0.009424777960769,1.366546402081048e-01,2.820074545522756e+00,1.501032255821989e-01,2.818236559916214e+00
0.012566370614359,1.301736045354215e-01,2.813781924014251e+00,1.540376033388057e-01,2.810514475746063e+00
0.015707963267949,1.218759205712100e-01,2.805705689998710e+00,1.590739387095550e-01,2.800600485629306e+00
0.018849555921539,1.117877771862125e-01,2.795856528709573e+00,1.651956919550720e-01,2.788505391159843e+00
0.021991148575129,9.994105175923623e-02,2.784247472868360e+00,1.723827288440695e-01,2.774242392759763e+00
0.025132741228718,8.637323167293776e-02,2.770893886439166e+00,1.806113691150993e-01,2.757827088608326e+00
0.028274333882308,7.112732175578300e-02,2.755813445393382e+00,1.898544436202418e-01,2.739277473234725e+00
0.031415926535898,5.425173778239357e-02,2.739026115468318e+00,2.000813600849352e-01,2.718613935705558e+00
0.034557519189488,3.580018616193370e-02,2.720554126900586e+00,2.112581774080108e-01,2.695859257325545e+00
0.037699111843078,1.583152996423934e-02,2.700421946115049e+00,2.233476884145412e-01,2.671038608761516e+00
0.040840704496667,-5.590358548012525e-03,2.678656244347893e+00,2.363095109633612e-01,2.644179546488342e+00
0.043982297150257,-2.839675869171745e-02,2.655285863182621e+00,2.501001872990888e-01,2.615312008446251e+00
0.047123889803847,-5.251427523014956e-02,2.630341776977763e+00,2.646732915266205e-01,2.584468308789682e+00
0.050265482457437,-7.786502510288119e-02,2.603857052164473e+00,2.799795450740244e-01,2.551683131597422e+00
0.053407075111026,-1.043668367642430e-01,2.575866803394171e+00,2.959669399965156e-01,2.516993523405815e+00
0.056548667764616,-1.319334618530685e-01,2.546408146516812e+00,3.125808699612506e-01,2.480438884417409e+00
0.059690260418206,-1.604747988919916e-01,2.515520148373203e+00,3.297642687387271e-01,2.442060958230013e+00
0.062831853071796,-1.898971286900745e-01,2.483243773385806e+00,3.474577560125190e-01,2.401903819921732e+00
0.065973445725386,-2.201033610961525e-01,2.449621826936998e+00,3.655997903039374e-01,2.360013862322019e+00
0.069115038378975,-2.509932927244363e-01,2.414698895525815e+00,3.841268287933619e-01,2.316439780289909e+00
0.072256631032565,-2.824638752455684e-01,2.378521283699455e+00,4.029734938034404e-01,2.271232552816128e+00
0.075398223686155,-3.144094938088979e-01,2.341136947759484e+00,4.220727456935116e-01,2.224445422758116e+00
