filename,geometry,aspect ratio,wavenumber,size parameter,equivalent area sphere size parameter,real part of refractive index,imaginary part of refractive index
data_prolatespheroid_aspectratio3_xs1d900ep01_refinInf_atten0d000ep00.csv,prolate spheroid,3,1.900000000000000e+01,1.900000000000000e+01,9.930304029405979e+00,Inf,0.000000000000000e+00
data_prolatespheroid_aspectratio4_xs1d300ep01_refinInf_atten0d000ep00.csv,prolate spheroid,4,1.300000000000000e+01,1.300000000000000e+01,5.834350947522413e+00,Inf,0.000000000000000e+00
data_prolatespheroid_aspectratio3_xs1d900ep01_refin1d500ep00_atten2d000em02.csv,prolate spheroid,3,1.900000000000000e+01,1.900000000000000e+01,9.930304029405979e+00,1.500000000000000e+00,2.000000000000000e-02
data_prolatespheroid_aspectratio4_xs1d300ep01_refin1d500ep00_atten2d000em02.csv,prolate spheroid,4,1.300000000000000e+01,1.300000000000000e+01,5.834350947522413e+00,1.500000000000000e+00,2.000000000000000e-02
data_prolatespheroid_aspectratio3_xs1d900ep01_refin1d093ep00_atten2d480em01.csv,prolate spheroid,3,1.900000000000000e+01,1.900000000000000e+01,9.930304029405979e+00,1.092500000000000e+00,2.480000000000000e-01
data_prolatespheroid_aspectratio4_xs1d300ep01_refin1d093ep00_atten2d480em01.csv,prolate spheroid,4,1.300000000000000e+01,1.300000000000000e+01,5.834350947522413e+00,1.092500000000000e+00,2.480000000000000e-01
data_prolatespheroid_aspectratio3_xs4d900ep01_refinInf_atten0d000ep00.csv,prolate spheroid,3,4.900000000000000e+01,4.900000000000000e+01,2.560973144425753e+01,Inf,0.000000000000000e+00
data_prolatespheroid_aspectratio4_xs3d500ep01_refinInf_atten0d000ep00.csv,prolate spheroid,4,3.500000000000000e+01,3.500000000000000e+01,1.570786793563727e+01,Inf,0.000000000000000e+00
data_prolatespheroid_aspectratio3_xs4d900ep01_refin1d500ep00_atten2d000em02.csv,prolate spheroid,3,4.900000000000000e+01,4.900000000000000e+01,2.560973144425753e+01,1.500000000000000e+00,2.000000000000000e-02
data_prolatespheroid_aspectratio4_xs3d500ep01_refin1d500ep00_atten2d000em02.csv,prolate spheroid,4,3.500000000000000e+01,3.500000000000000e+01,1.570786793563727e+01,1.500000000000000e+00,2.000000000000000e-02
